project,version,file,has_provenance,publisher
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp311-cp311-musllinux_1_2_riscv64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp311-cp311-musllinux_1_2_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp311-cp311-win32.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp311-cp311-win_amd64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp311-cp311-win_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp312-cp312-macosx_10_13_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp312-cp312-macosx_11_0_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp312-cp312-manylinux_2_26_aarch64.manylinux_2_28_aarch64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp312-cp312-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp312-cp312-manylinux_2_39_riscv64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp312-cp312-musllinux_1_2_aarch64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp312-cp312-musllinux_1_2_riscv64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp312-cp312-musllinux_1_2_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp312-cp312-win32.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp312-cp312-win_amd64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp312-cp312-win_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313-macosx_10_13_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313-macosx_11_0_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313-manylinux_2_26_aarch64.manylinux_2_28_aarch64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313-manylinux_2_39_riscv64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313-musllinux_1_2_aarch64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313-musllinux_1_2_riscv64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313-musllinux_1_2_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313-win32.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313-win_amd64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313-win_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313t-macosx_10_13_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313t-macosx_11_0_arm64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313t-manylinux_2_26_aarch64.manylinux_2_28_aarch64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313t-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313t-manylinux_2_39_riscv64.whl,True,GitHub
rapidfuzz,3.14.5,rapidfuzz-3.14.5-cp313-cp313t-musllinux_1_2_aarch64.whl,True,GitHub
